strategy_family,tf,rsi_period,ob_level,os_level,entry_mode,sl_atr_mult,rr,vol_lookback,vol_threshold,train_gate_coverage_pct,train_base_trades,train_base_win_rate,train_base_profit_factor,train_base_max_drawdown_pct,train_base_pnl_pct,train_gated_trades,train_gated_win_rate,train_gated_profit_factor,train_gated_max_drawdown_pct,train_gated_pnl_pct,train_delta_profit_factor,train_delta_drawdown_pct,train_delta_pnl_pct,train_trade_reduction_pct,oos_gate_coverage_pct,oos_base_trades,oos_base_win_rate,oos_base_profit_factor,oos_base_max_drawdown_pct,oos_base_pnl_pct,oos_gated_trades,oos_gated_win_rate,oos_gated_profit_factor,oos_gated_max_drawdown_pct,oos_gated_pnl_pct,oos_delta_profit_factor,oos_delta_drawdown_pct,oos_delta_pnl_pct,oos_trade_reduction_pct
rsi_low_vol,M1,14,70,20,cross,1.5,4.0,200,0.2,32.51,5822,19.1,1.0011,97.71,-64.66,1141,20.16,1.0395,76.61,13.45,0.0384,-21.1,78.11,80.4,33.72,28035,19.94,1.0458,88.77,7793.2,6542,22.68,1.2095,61.45,716060.9,0.1637,-27.32,708267.7,76.66
rsi_low_vol,M5,14,80,20,touch,1.5,3.0,200,0.3,40.13,220,22.73,0.8824,34.59,-20.6,50,20.0,0.75,15.21,-10.1,-0.1324,-19.38,10.5,77.27,38.31,1230,25.28,1.0163,46.26,-3.29,248,28.23,1.1798,20.69,32.33,0.1635,-25.57,35.62,79.84
rsi_low_vol,M1,21,70,30,cross,1.5,4.0,100,0.3,40.4,4028,18.4,0.963,97.31,-84.62,489,20.25,1.0421,47.59,6.58,0.0791,-49.72,91.2,87.86,41.84,19615,19.5,1.0266,95.1,25.86,3512,22.18,1.1861,54.48,6247.86,0.1595,-40.62,6222.0,82.1
rsi_low_vol,M1,21,70,20,cross,1.5,2.0,50,0.3,40.91,2234,34.29,1.0515,52.5,69.13,194,43.3,1.5273,15.08,74.7,0.4758,-37.42,5.57,91.32,42.16,10544,35.49,1.1081,50.51,50243.92,1538,38.69,1.266,22.26,933.2,0.1579,-28.25,-49310.72,85.41
rsi_low_vol,M1,21,70,30,cross,1.5,4.0,50,0.3,40.91,4028,18.4,0.963,97.31,-84.62,346,18.79,0.9524,37.43,-17.67,-0.0106,-59.88,66.95,91.41,42.16,19615,19.5,1.0266,95.1,25.86,2863,22.07,1.183,50.07,2638.3,0.1564,-45.03,2612.44,85.4
rsi_low_vol,M1,14,70,20,cross,1.5,4.0,50,0.2,33.05,5822,19.1,1.0011,97.71,-64.66,797,22.33,1.1906,31.14,164.11,0.1895,-66.57,228.77,86.31,34.33,28035,19.94,1.0458,88.77,7793.2,4867,22.42,1.2002,52.55,51534.59,0.1544,-36.22,43741.39,82.64
rsi_low_vol,M5,14,80,20,touch,1.5,2.0,100,0.3,38.66,220,34.55,1.0556,18.51,5.95,25,20.0,0.5,12.33,-9.7,-0.5556,-6.18,-15.65,88.64,35.03,1230,34.8,1.0687,37.42,52.99,145,37.93,1.2222,9.62,20.28,0.1535,-27.8,-32.71,88.21
rsi_low_vol,M1,21,70,30,cross,1.5,3.0,100,0.3,40.4,4028,25.22,1.0456,73.72,108.55,489,27.4,1.1388,31.22,51.15,0.0932,-42.5,-57.4,87.86,41.84,19615,26.15,1.0909,54.24,1889144.3,3512,29.01,1.2437,49.48,22413.36,0.1528,-4.76,-1866730.94,82.1
rsi_low_vol,M1,14,70,20,cross,1.5,3.0,100,0.2,32.52,5822,25.44,1.0506,84.52,257.41,970,27.53,1.1492,55.65,142.81,0.0986,-28.87,-114.6,83.34,34.08,28035,26.16,1.0847,75.17,40586772.81,5718,28.98,1.2375,44.64,546737.18,0.1528,-30.53,-40040035.63,79.6
rsi_low_vol,M5,14,70,20,cross,1.5,4.0,50,0.3,42.97,1114,18.76,0.9258,79.18,-58.45,209,17.22,0.8324,40.43,-27.87,-0.0934,-38.75,30.58,81.24,42.75,5564,19.66,0.9874,86.79,-80.52,1158,22.11,1.1378,37.98,170.53,0.1504,-48.81,251.05,79.19
