tf,strategy,fft_n,ratio_thresh,pers_thresh,pers_window,session_label,filter_type,clock_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain
M1,rsi,0,0.0,0.0,0,london,time_clock,1.6700020146397154,3392,35.94,1.1308,46.41,1083.28,1695,1697,17576,34.75,1.0727,71.76,66515.4,8816,8760,-0.0581,1.0741,71.93,17917,-0.0014
M1,derivative,64,0.1,0.5,10,london,fft_clock,3.885031226915587,26029,24.71,1.0058,99.69,-93.16,13021,13008,122040,24.94,1.0202,99.92,12.36,61022,61018,0.0144,1.0218,99.93,127960,-0.0016
M1,derivative,64,0.08,0.5,10,london,fft_clock,4.053186488482977,25988,24.71,1.0059,99.66,-93.05,13002,12986,121800,24.94,1.02,99.93,-1.69,60899,60901,0.0141,1.0218,99.93,127960,-0.0018
M1,derivative,64,0.1,0.5,20,london,fft_clock,2.966624135383789,26289,24.69,1.0052,99.77,-94.1,13159,13130,123427,24.93,1.02,99.96,-4.14,61734,61693,0.0148,1.0218,99.93,127960,-0.0018
M1,derivative,64,0.06,0.5,10,london,fft_clock,4.090793096501242,25974,24.71,1.0058,99.68,-93.18,12996,12978,121757,24.93,1.0199,99.94,-13.88,60877,60880,0.0141,1.0218,99.93,127960,-0.0019
M1,derivative,64,0.06,0.5,20,london,fft_clock,3.4944597407830233,26150,24.68,1.0047,99.76,-94.54,13088,13062,122636,24.92,1.0196,99.94,-29.04,61332,61304,0.0149,1.0218,99.93,127960,-0.0022
M1,derivative,64,0.08,0.3,20,london,fft_clock,5.034987576388422,25758,24.71,1.0059,99.69,-92.89,12889,12869,120320,24.93,1.0195,99.91,-37.21,60165,60155,0.0136,1.0218,99.93,127960,-0.0023
M1,derivative,64,0.1,0.3,20,london,fft_clock,4.428446712779531,25905,24.7,1.0053,99.72,-93.76,12957,12948,121230,24.92,1.0195,99.95,-39.77,60615,60615,0.0142,1.0218,99.93,127960,-0.0023
M1,derivative,64,0.1,0.3,10,london,fft_clock,4.895843126720838,25773,24.73,1.0072,99.53,-91.0,12894,12879,120578,24.92,1.0193,99.93,-49.4,60288,60290,0.0121,1.0218,99.93,127960,-0.0025
M1,derivative,64,0.08,0.3,10,london,fft_clock,5.248270767577731,25680,24.74,1.0075,99.44,-90.41,12851,12829,120103,24.92,1.0192,99.93,-51.39,60052,60051,0.0117,1.0218,99.93,127960,-0.0026
M1,rsi,64,0.08,0.3,10,newyork,fft_clock,5.248270767577731,3057,35.72,1.12,45.84,658.61,1426,1631,14854,35.8,1.126,53.52,3204409.76,7250,7604,0.006,1.1287,54.52,15870,-0.0027
M1,rsi,64,0.06,0.3,10,newyork,fft_clock,5.368611913236183,3052,35.75,1.1213,46.9,674.24,1424,1628,14829,35.79,1.1256,52.58,3056453.22,7237,7592,0.0043,1.1287,54.52,15870,-0.0031
M1,rsi,64,0.06,0.5,10,newyork,fft_clock,4.090793096501242,3107,35.82,1.1248,44.77,759.1,1448,1659,15053,35.79,1.1255,53.53,3540513.58,7358,7695,0.0007,1.1287,54.52,15870,-0.0032
M1,rsi,64,0.1,0.5,10,newyork,fft_clock,3.885031226915587,3111,35.81,1.1241,44.77,750.25,1450,1661,15096,35.79,1.1255,54.46,3632615.28,7380,7716,0.0014,1.1287,54.52,15870,-0.0032
M1,rsi,0,0.0,0.0,0,asian,time_clock,1.6700020146397154,3488,35.03,1.0809,46.02,337.1,1756,1732,17013,35.04,1.0801,73.03,122015.95,8501,8512,-0.0008,1.0833,72.55,17436,-0.0032
M1,derivative,64,0.06,0.3,20,london,fft_clock,5.506413269760258,25633,24.68,1.0044,99.75,-94.51,12830,12803,119660,24.91,1.0185,99.89,-73.05,59840,59820,0.0141,1.0218,99.93,127960,-0.0033
M1,derivative,64,0.06,0.3,10,london,fft_clock,5.368611913236183,25644,24.72,1.0068,99.54,-91.44,12834,12810,119935,24.91,1.0185,99.95,-73.04,59972,59963,0.0117,1.0218,99.93,127960,-0.0033
M1,rsi,64,0.1,0.3,10,newyork,fft_clock,4.895843126720838,3067,35.8,1.1238,45.84,720.65,1432,1635,14916,35.79,1.1253,53.99,3153510.2,7279,7637,0.0015,1.1287,54.52,15870,-0.0034
M1,rsi,64,0.08,0.5,10,newyork,fft_clock,4.053186488482977,3110,35.79,1.1231,44.77,733.58,1449,1661,15062,35.79,1.1251,54.0,3433306.59,7363,7699,0.002,1.1287,54.52,15870,-0.0036
M1,rsi,64,0.06,0.5,20,newyork,fft_clock,3.4944597407830233,3152,35.79,1.1229,46.9,755.26,1473,1679,15200,35.78,1.1249,53.11,3704961.41,7430,7770,0.002,1.1287,54.52,15870,-0.0038
M1,rsi,64,0.08,0.5,20,newyork,fft_clock,3.297293667315828,3161,35.78,1.1226,44.76,754.5,1480,1681,15233,35.77,1.1247,54.04,3692834.3,7448,7785,0.0021,1.1287,54.52,15870,-0.004
M1,rsi,64,0.08,0.3,20,newyork,fft_clock,5.034987576388422,3091,35.65,1.1165,46.32,626.55,1442,1649,14918,35.76,1.124,52.57,2797712.87,7275,7643,0.0075,1.1287,54.52,15870,-0.0047
M1,rsi,64,0.1,0.5,20,newyork,fft_clock,2.966624135383789,3166,35.85,1.126,44.76,815.69,1483,1683,15292,35.75,1.1237,54.89,3528337.72,7476,7816,-0.0023,1.1287,54.52,15870,-0.005
M1,rsi,64,0.06,0.3,20,newyork,fft_clock,5.506413269760258,3075,35.64,1.1161,47.45,613.36,1434,1641,14847,35.73,1.1225,51.61,2332125.47,7235,7612,0.0064,1.1287,54.52,15870,-0.0062
M1,rsi,64,0.1,0.3,20,newyork,fft_clock,4.428446712779531,3103,35.74,1.1208,46.32,693.67,1450,1653,15034,35.73,1.1222,53.53,2579813.95,7338,7696,0.0014,1.1287,54.52,15870,-0.0065
