tf,fp,tol,lb,rr,session_label,filter_mode,fft_n,delta,min_period,fft_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain,dd_gain,valid
M1,5,0.5,30,2.0,all,full_confl,64,0.05,5,50.0,10406,27.45,0.9552,99.24,-97.11,5037,5369,49798,28.11,0.97,100.0,-100.0,24828,24970,0.0148,0.9777,100.0,342639,-0.0077,0.0,True
M1,5,1.0,30,2.0,all,full_confl,64,0.05,5,50.0,20304,27.63,0.9627,99.97,-99.76,9900,10404,97467,28.05,0.9696,100.0,-100.0,48458,49009,0.0069,0.9746,100.0,668607,-0.005,0.0,True
M1,5,1.0,70,2.0,newyork,full_confl,64,0.03,10,53.2,4009,28.86,1.0262,86.75,28.16,1958,2051,20797,27.56,0.9691,99.84,-99.54,10384,10413,-0.0571,0.9797,100.0,340144,-0.0106,0.16,True
M1,5,0.5,70,2.0,newyork,fft_cycle,64,0.03,5,53.2,8310,26.79,0.9416,99.3,-96.78,4027,4283,40045,27.49,0.9689,100.0,-100.0,19790,20255,0.0273,0.9847,100.0,193388,-0.0158,0.0,True
M1,5,0.5,70,2.0,newyork,fft_cycle,64,0.05,5,50.0,8310,26.79,0.9416,99.3,-96.78,4027,4283,40045,27.49,0.9689,100.0,-100.0,19790,20255,0.0273,0.9847,100.0,193388,-0.0158,0.0,True
M1,5,0.3,70,2.0,all,baseline,0,0.0,0,0.0,78959,27.05,0.9344,100.0,-100.0,38372,40587,381042,28.08,0.9688,100.0,-100.0,187868,193174,0.0344,0.9688,100.0,381042,0.0,0.0,True
M1,5,0.5,30,2.0,newyork,full_confl,64,0.03,10,53.2,1339,25.54,0.868,78.34,-68.25,654,685,7010,27.8,0.9684,92.76,-84.39,3560,3450,0.1004,1.0187,99.64,114186,-0.0503,6.88,True
M1,5,0.5,30,2.0,all,fft_cycle,64,0.03,5,53.2,15474,27.61,0.9629,99.73,-98.97,7521,7953,75031,28.02,0.9683,100.0,-100.0,37397,37634,0.0054,0.9777,100.0,342639,-0.0094,0.0,True
M1,5,0.5,30,2.0,all,fft_cycle,64,0.05,5,50.0,15474,27.61,0.9629,99.73,-98.97,7521,7953,75031,28.02,0.9683,100.0,-100.0,37397,37634,0.0054,0.9777,100.0,342639,-0.0094,0.0,True
M1,5,1.0,30,2.0,asian,full_confl,64,0.03,5,53.2,7326,28.73,0.9839,95.02,-73.31,3669,3657,35132,28.96,0.9678,100.0,-99.99,17644,17488,-0.0161,0.972,100.0,223224,-0.0042,0.0,True
M1,5,0.3,70,2.0,newyork,fft_cycle,64,0.03,5,53.2,5468,26.34,0.9163,98.32,-95.37,2649,2819,26546,27.48,0.9666,99.98,-99.93,13146,13400,0.0503,0.9882,100.0,128504,-0.0216,0.02,True
M1,5,0.3,70,2.0,newyork,fft_cycle,64,0.05,5,50.0,5468,26.34,0.9163,98.32,-95.37,2649,2819,26546,27.48,0.9666,99.98,-99.93,13146,13400,0.0503,0.9882,100.0,128504,-0.0216,0.02,True
M1,5,1.0,30,2.0,all,full_confl,64,0.03,10,53.2,8975,28.51,0.9998,96.32,-53.83,4410,4565,44739,27.93,0.9658,100.0,-100.0,22435,22304,-0.034,0.9746,100.0,668607,-0.0088,0.0,True
M1,5,1.0,30,2.0,all,fft_cycle,64,0.03,10,53.2,13518,28.32,0.9942,99.17,-79.67,6692,6826,67389,27.91,0.9655,100.0,-100.0,33910,33479,-0.0287,0.9746,100.0,668607,-0.0091,0.0,True
M1,5,1.0,30,2.0,all,fft_cycle,64,0.05,10,50.0,13518,28.32,0.9942,99.17,-79.67,6692,6826,67389,27.91,0.9655,100.0,-100.0,33910,33479,-0.0287,0.9746,100.0,668607,-0.0091,0.0,True
M1,5,0.3,70,2.0,newyork,full_confl,64,0.03,10,53.2,1427,27.19,0.9316,76.39,-49.77,695,732,7703,27.9,0.9654,91.39,-88.79,3882,3821,0.0338,0.9882,100.0,128504,-0.0228,8.61,True
M1,5,0.3,70,2.0,all,full_confl,64,0.03,5,53.2,11987,27.05,0.9238,99.93,-99.82,5889,6098,58147,28.05,0.9645,100.0,-100.0,29089,29058,0.0407,0.9688,100.0,381042,-0.0043,0.0,True
M1,5,0.3,70,2.0,all,full_confl,64,0.05,5,50.0,11448,27.0,0.9225,99.92,-99.78,5602,5846,55254,28.05,0.9642,100.0,-100.0,27670,27584,0.0417,0.9688,100.0,381042,-0.0046,0.0,True
M1,5,1.0,30,2.0,asian,fft_cycle,64,0.03,10,53.2,4772,29.32,1.0138,81.16,-3.44,2306,2466,22972,28.8,0.964,99.95,-99.9,11740,11232,-0.0498,0.972,100.0,223224,-0.008,0.05,True
M1,5,1.0,30,2.0,asian,fft_cycle,64,0.05,10,50.0,4772,29.32,1.0138,81.16,-3.44,2306,2466,22972,28.8,0.964,99.95,-99.9,11740,11232,-0.0498,0.972,100.0,223224,-0.008,0.05,True
M1,5,0.5,30,2.0,all,fft_cycle,64,0.03,10,53.2,6827,27.49,0.9579,95.58,-89.11,3393,3434,34197,27.92,0.9637,100.0,-100.0,17262,16935,0.0058,0.9777,100.0,342639,-0.014,0.0,True
M1,5,0.5,30,2.0,all,fft_cycle,64,0.05,10,50.0,6827,27.49,0.9579,95.58,-89.11,3393,3434,34197,27.92,0.9637,100.0,-100.0,17262,16935,0.0058,0.9777,100.0,342639,-0.014,0.0,True
M1,5,0.5,70,2.0,all,baseline,0,0.0,0,0.0,121099,27.1,0.9381,100.0,-100.0,59087,62012,582658,27.95,0.9636,100.0,-100.0,287690,294968,0.0255,0.9636,100.0,582658,0.0,0.0,True
