tf,fp,tol,lb,rr,session_label,filter_mode,fft_n,delta,min_period,fft_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain,dd_gain,valid
M5,5,0.5,70,2.0,all,full_confl,64,0.05,10,48.3,1247,31.68,0.9863,57.9,-20.41,541,706,6875,32.61,1.0377,77.09,163.79,3423,3452,0.0514,0.9936,100.0,124607,0.0441,22.91,True
M5,5,0.5,70,2.0,asian,full_confl,128,0.03,10,62.6,474,34.18,1.0385,29.8,7.5,235,239,2476,34.13,1.0368,71.32,42.07,1255,1221,-0.0017,1.0094,99.64,41602,0.0274,28.32,True
M5,5,0.5,30,2.0,all,fft_cycle,64,0.03,10,51.6,1223,29.76,0.9089,73.27,-56.92,538,685,6829,32.36,1.0354,88.34,136.06,3462,3367,0.1265,0.9926,100.0,74625,0.0428,11.66,True
M5,5,0.5,30,2.0,all,fft_cycle,64,0.05,10,48.3,1223,29.76,0.9089,73.27,-56.92,538,685,6829,32.36,1.0354,88.34,136.06,3462,3367,0.1265,0.9926,100.0,74625,0.0428,11.66,True
M5,5,0.3,30,2.0,asian,fft_cycle,64,0.03,5,51.6,609,33.17,0.9926,32.91,-8.64,314,295,3181,34.11,1.0353,61.18,52.25,1575,1606,0.0427,0.9945,97.69,14690,0.0408,36.51,True
M5,5,0.3,30,2.0,asian,fft_cycle,64,0.05,5,48.3,609,33.17,0.9926,32.91,-8.64,314,295,3181,34.11,1.0353,61.18,52.25,1575,1606,0.0427,0.9945,97.69,14690,0.0408,36.51,True
M5,5,0.3,70,2.0,asian,fft_cycle,128,0.03,10,62.6,406,33.25,0.9963,21.57,-4.9,198,208,2206,34.09,1.0344,69.65,32.1,1108,1098,0.0381,1.0039,98.69,26419,0.0305,29.04,True
M5,5,0.3,70,2.0,asian,fft_cycle,128,0.05,10,58.6,406,33.25,0.9963,21.57,-4.9,198,208,2206,34.09,1.0344,69.65,32.1,1108,1098,0.0381,1.0039,98.69,26419,0.0305,29.04,True
M5,5,1.0,30,3.0,asian,full_confl,64,0.05,5,48.3,1292,25.23,1.0306,52.89,10.34,683,609,7072,25.37,1.0344,93.85,108.88,3516,3556,0.0038,1.0092,99.93,48998,0.0252,6.08,True
M5,5,0.5,70,3.0,asian,fft_cycle,64,0.03,10,51.6,688,28.05,1.1768,40.53,113.85,328,360,3924,25.38,1.0343,74.92,49.95,2029,1895,-0.1425,1.009,99.95,41602,0.0253,25.03,True
