tf,filter_mode,fft_n,delta,min_period,pwr_thresh,ema_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,trade_reduction_pct,regime_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain,dd_gain,statistically_valid
M5,full_confluence,128,0.08,10,0.12,10,1.5,2.0,asian,0,0.0,0.0,0.0,0.0,0,0,100.0,52.1,9,44.44,1.6,1.0,2.94,3,6,1.6,1.0188,80.19,24504,0.5812,79.19,False
M5,full_confluence,128,0.03,10,0.12,10,1.0,2.0,asian,0,0.0,0.0,0.0,0.0,0,0,100.0,62.6,9,44.44,1.6,1.99,2.94,3,6,1.6,1.0293,76.42,24504,0.5707,74.43,False
M5,full_confluence,128,0.05,10,0.12,10,1.0,2.0,asian,0,0.0,0.0,0.0,0.0,0,0,100.0,58.6,9,44.44,1.6,1.99,2.94,3,6,1.6,1.0293,76.42,24504,0.5707,74.43,False
M5,full_confluence,128,0.08,10,0.12,10,1.0,2.0,asian,0,0.0,0.0,0.0,0.0,0,0,100.0,52.1,9,44.44,1.6,1.99,2.94,3,6,1.6,1.0293,76.42,24504,0.5707,74.43,False
M5,full_confluence,128,0.08,3,0.12,10,1.0,2.0,asian,14,35.71,1.1111,4.93,0.86,6,8,99.9,52.1,81,44.44,1.6,5.85,29.77,44,37,0.4889,1.0293,76.42,24504,0.5707,70.57,True
M5,full_confluence,128,0.03,10,0.12,10,1.5,4.0,all,0,0.0,0.0,0.0,0.0,0,0,100.0,62.6,35,28.57,1.6,12.25,15.14,14,21,1.6,0.9607,100.0,72293,0.6393,87.75,True
M15,full_confluence,128,0.05,10,0.08,10,1.0,3.0,london,5,20.0,0.75,3.94,-1.06,2,3,99.6,55.8,75,34.67,1.5918,7.94,31.79,35,40,0.8418,0.9817,93.32,8277,0.6101,85.38,True
M15,full_confluence,128,0.08,10,0.08,10,1.0,3.0,london,5,20.0,0.75,3.94,-1.06,2,3,99.6,49.2,75,34.67,1.5918,7.94,31.79,35,40,0.8418,0.9817,93.32,8277,0.6101,85.38,True
M15,full_confluence,128,0.03,10,0.08,20,1.0,2.0,asian,4,25.0,0.6667,2.97,-1.03,2,2,99.6,61.2,34,44.12,1.5789,4.0,11.19,15,19,0.9122,1.0119,76.51,6185,0.567,72.51,True
M5,full_confluence,128,0.08,5,0.12,10,1.0,2.0,asian,4,50.0,2.0,1.0,1.97,2,2,99.9,52.1,59,44.07,1.5758,4.96,20.11,32,27,-0.4242,1.0293,76.42,24504,0.5465,71.46,True
M15,fft_cycle_only,128,0.03,10,0.08,10,1.0,2.0,london,5,40.0,1.3333,1.99,0.95,2,3,99.6,61.2,84,44.05,1.5745,7.81,29.74,41,43,0.2412,0.9951,78.41,8277,0.5794,70.6,True
M15,fft_cycle_only,128,0.05,10,0.08,10,1.0,2.0,london,5,40.0,1.3333,1.99,0.95,2,3,99.6,55.8,84,44.05,1.5745,7.81,29.74,41,43,0.2412,0.9951,78.41,8277,0.5794,70.6,True
M15,fft_cycle_only,128,0.08,10,0.08,10,1.0,2.0,london,5,40.0,1.3333,1.99,0.95,2,3,99.6,49.2,84,44.05,1.5745,7.81,29.74,41,43,0.2412,0.9951,78.41,8277,0.5794,70.6,True
