tf,fft_window,low_pct,high_pct,min_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M15,256,0.1,0.3,10,1.5,2.0,asian,184,34.78,0.9567,15.27,-7.18,1055,34.5,0.9398,52.24,-42.59,1239,616,623,8.481194511702986
M15,128,0.05,0.3,10,1.0,2.0,asian,241,31.12,0.7661,38.24,-36.64,1271,35.56,0.9395,62.15,-49.39,1512,766,746,4.6043650793650786
M15,64,0.05,0.2,5,1.5,3.0,london,1125,24.89,0.9351,64.3,-52.31,5453,25.0,0.9393,97.88,-96.7,6578,3283,3295,15.70522955305564
M15,128,0.1,0.3,5,1.5,4.0,london,1220,19.59,0.9366,70.1,-58.65,6251,19.68,0.9387,99.21,-98.81,7471,3741,3730,21.397978851559365
M15,256,0.05,0.3,5,1.0,4.0,newyork,967,17.89,0.8107,85.8,-82.93,4871,20.18,0.9381,98.36,-97.04,5838,2918,2920,22.4190304898938
M15,256,0.1,0.2,5,1.0,3.0,london,902,25.94,0.9597,44.37,-34.61,4610,25.66,0.9367,95.54,-95.18,5512,2757,2755,5.983635703918723
M15,64,0.05,0.2,10,1.5,3.0,london,310,25.81,0.9877,32.64,-7.35,1744,24.89,0.9362,78.82,-67.77,2054,1036,1018,16.247127555988317
M15,64,0.1,0.2,5,1.5,3.0,london,1115,24.39,0.9141,70.03,-60.12,5450,24.94,0.9361,98.2,-97.12,6565,3279,3286,15.703808073115004
M15,64,0.05,0.3,10,1.5,3.0,london,346,25.72,0.9821,32.86,-9.53,2019,24.91,0.936,81.98,-73.15,2365,1187,1178,16.504820295983087
M15,64,0.1,0.3,10,1.5,2.0,asian,268,31.34,0.8248,33.68,-30.95,1544,34.33,0.9355,61.09,-57.66,1812,914,898,8.585209713024282
M15,64,0.1,0.3,5,1.5,3.0,london,1251,24.06,0.8972,78.21,-69.94,6389,24.92,0.9351,98.98,-98.52,7640,3841,3799,15.830994764397904
M15,64,0.05,0.2,10,1.5,2.0,london,310,34.84,1.005,26.96,-2.07,1744,33.43,0.9342,72.14,-62.32,2054,1036,1018,9.807497565725415
M15,64,0.05,0.2,10,1.5,4.0,all,848,20.75,1.0004,47.45,-15.52,4546,19.69,0.9342,96.94,-96.68,5394,2700,2694,25.718798665183538
M15,128,0.1,0.3,10,1.5,3.0,asian,192,24.48,0.8809,24.44,-19.26,1133,25.51,0.9335,69.01,-53.84,1325,663,662,10.955094339622642
M15,256,0.05,0.2,5,1.5,3.0,all,2542,24.43,0.9052,92.02,-89.88,12429,25.05,0.9335,99.99,-99.98,14971,7478,7493,20.630205063122034
M15,64,0.05,0.3,10,1.0,3.0,london,346,23.99,0.8706,42.19,-33.77,2019,25.56,0.9333,83.24,-74.94,2365,1187,1178,6.248710359408034
M15,256,0.1,0.3,10,1.0,4.0,london,233,18.45,0.8312,38.08,-32.06,1207,20.38,0.9332,69.74,-60.63,1440,725,715,9.029444444444445
M15,64,0.05,0.3,10,1.5,4.0,all,989,20.83,1.0005,41.61,-17.83,5274,19.7,0.9331,98.54,-98.18,6263,3136,3127,25.468449624780455
M15,256,0.1,0.3,5,1.0,4.0,london,1110,19.91,0.9144,67.93,-64.33,5705,20.39,0.9329,98.96,-98.8,6815,3405,3410,8.981438004402055
M15,256,0.05,0.2,5,1.0,3.0,london,890,25.51,0.9376,54.84,-43.8,4598,25.58,0.9326,96.1,-95.83,5488,2742,2746,5.983782798833819
M15,64,0.1,0.2,10,1.5,2.0,london,265,33.58,0.9509,22.57,-11.0,1509,33.4,0.9325,69.85,-57.78,1774,894,880,9.753945885005637
M15,128,0.05,0.3,5,1.0,4.0,london,1185,20.68,0.9589,64.27,-47.85,6170,20.36,0.9323,99.4,-99.19,7355,3679,3676,8.864445955132563
M15,64,0.1,0.3,5,1.5,3.0,asian,1148,24.13,0.8699,78.32,-74.84,5751,25.56,0.9318,98.83,-98.19,6899,3466,3433,10.750079721698798
M15,256,0.05,0.3,10,1.0,3.0,newyork,243,22.63,0.8125,42.59,-33.42,1161,25.24,0.9316,65.2,-55.26,1404,707,697,17.94423076923077
M15,256,0.05,0.3,10,1.5,2.0,asian,218,35.78,0.9998,12.05,-2.25,1167,34.28,0.9313,57.07,-49.59,1385,685,700,8.284259927797834
M15,256,0.1,0.3,10,1.5,3.0,newyork,219,26.94,1.0506,16.2,5.13,1030,24.56,0.931,61.45,-50.78,1249,629,620,34.94411529223378
M15,64,0.05,0.3,10,1.5,3.0,asian,310,23.23,0.8291,42.22,-38.07,1725,25.51,0.931,75.96,-70.3,2035,1024,1011,11.045700245700246
M15,128,0.05,0.3,10,1.0,4.0,all,798,20.43,0.9297,57.82,-47.45,3821,20.47,0.9303,97.54,-95.31,4619,2312,2307,13.182723533232302
M15,128,0.1,0.3,10,1.0,4.0,all,673,19.17,0.8599,61.48,-61.48,3391,20.5,0.9302,96.83,-93.42,4064,2041,2023,13.117199803149605
M15,256,0.05,0.2,10,1.0,4.0,london,229,17.47,0.7776,45.69,-38.76,1097,20.33,0.93,63.16,-58.42,1326,659,667,8.813650075414783
M15,128,0.1,0.3,5,1.0,4.0,london,1220,20.25,0.9346,68.54,-60.21,6251,20.32,0.93,99.48,-99.32,7471,3741,3730,8.832659617186454
M15,256,0.1,0.2,5,1.0,4.0,london,902,20.18,0.9289,58.04,-51.62,4610,20.33,0.9296,97.75,-97.53,5512,2757,2755,8.799999999999999
M15,256,0.05,0.3,5,1.0,4.0,london,1069,19.64,0.8987,71.97,-67.96,5618,20.33,0.9295,99.03,-98.91,6687,3339,3348,8.97993120981008
M15,256,0.05,0.3,10,1.0,3.0,all,679,24.89,0.8937,57.79,-49.67,3465,25.77,0.9293,92.33,-91.82,4144,2059,2085,10.43445945945946
M15,128,0.05,0.2,5,1.0,2.0,london,996,33.73,0.9199,61.92,-48.56,5066,34.21,0.9287,96.53,-95.36,6062,3043,3019,3.6
