tf,fft_window,low_pct,high_pct,min_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M1,64,0.1,0.3,10,1.0,2.0,all,14450,34.39,1.0483,60.34,2169.33,71654,34.93,1.0736,58.16,55594964458815.05,86104,43061,43043,4.48321796896776
M1,64,0.1,0.2,10,1.0,4.0,london,4879,20.86,1.0626,63.81,311.15,24078,21.06,1.073,78.76,730672.6,28957,14481,14476,9.650547363331835
M15,256,0.1,0.2,10,1.5,2.0,all,514,34.63,1.0595,17.6,15.95,2549,34.92,1.0729,34.89,158.79,3063,1523,1540,15.233561867450211
M15,128,0.1,0.2,10,1.5,4.0,asian,181,21.55,1.0986,18.77,10.79,890,21.12,1.0728,40.05,38.85,1071,527,544,12.833800186741364
M15,256,0.1,0.2,5,1.0,3.0,london,905,23.65,0.9291,58.32,-46.16,4589,26.32,1.0728,48.04,479.5,5494,2750,2744,16.468219876228616
M15,128,0.1,0.3,10,1.0,2.0,asian,237,29.96,0.8554,26.0,-23.08,1106,34.9,1.0722,31.31,50.32,1343,660,683,2.7176470588235295
M15,64,0.1,0.2,10,1.0,3.0,asian,215,25.58,1.0312,13.54,1.78,1318,26.33,1.0721,41.27,64.55,1533,761,772,4.143900848010437
M1,64,0.05,0.2,10,1.0,2.0,all,14586,34.55,1.0563,48.28,4815.05,73420,34.9,1.0721,61.33,53611250947553.41,88006,44021,43985,4.483426130036588
M15,256,0.1,0.2,5,1.0,2.0,london,905,32.93,0.9819,38.14,-18.08,4589,34.89,1.0716,35.8,433.13,5494,2750,2744,11.234109938114308
M1,64,0.1,0.3,10,1.0,3.0,asian,5200,26.48,1.0808,58.37,887.58,24509,26.32,1.0716,59.42,965524.32,29709,14860,14849,5.952509340603858
M1,64,0.1,0.3,10,1.0,4.0,all,14450,21.09,1.0742,86.61,23750.79,71654,21.06,1.0715,85.92,14574769616175.82,86104,43061,43043,9.01678203103224
M1,64,0.05,0.3,10,1.0,2.0,all,16590,34.26,1.0423,59.48,1790.48,83075,34.88,1.0714,70.3,1277181898920937.2,99665,49846,49819,4.4833542366929215
M15,256,0.05,0.3,5,1.0,4.0,asian,970,19.9,0.9936,44.75,-21.3,5076,21.12,1.0712,60.43,512.95,6046,3019,3027,5.764174660932848
M15,256,0.1,0.3,5,1.0,3.0,asian,1016,25.98,1.0532,22.63,27.85,5154,26.31,1.0711,40.5,575.69,6170,3078,3092,4.2
M1,64,0.05,0.3,10,1.0,4.0,all,16590,20.98,1.0671,88.1,21633.73,83075,21.05,1.0709,94.12,601318080070473.8,99665,49846,49819,9.0
M1,64,0.05,0.2,5,1.0,4.0,london,17231,20.49,1.0375,87.55,427.55,84322,21.02,1.0708,90.43,814296349215710.1,101553,50773,50780,9.6
M15,128,0.05,0.2,10,1.5,3.0,asian,212,27.83,1.1569,13.28,22.91,1004,26.29,1.0703,35.4,44.24,1216,600,616,9.891776315789473
M1,64,0.05,0.2,5,1.0,3.0,london,17231,25.66,1.0366,87.13,704.8,84322,26.26,1.0702,80.84,2143854546437761.2,101553,50773,50780,7.1
M15,128,0.1,0.2,10,1.5,3.0,asian,181,25.41,1.0222,15.36,0.29,890,26.29,1.0701,28.53,38.23,1071,527,544,9.250700280112046
M1,64,0.1,0.2,5,1.0,4.0,london,17127,20.41,1.033,91.68,189.86,84271,21.0,1.0699,94.34,459412171957770.2,101398,50714,50684,9.616890865697549
M1,64,0.1,0.2,10,1.0,3.0,london,4879,25.85,1.0459,60.37,151.33,24078,26.25,1.0693,76.83,548045.11,28957,14481,14476,7.1
M15,128,0.05,0.3,10,1.5,3.0,asian,269,28.25,1.1813,13.64,35.9,1237,26.27,1.0691,40.39,55.38,1506,738,768,9.732204515272246
M1,64,0.05,0.2,5,1.0,2.0,all,45292,34.64,1.0603,67.5,58145174.53,222240,34.83,1.069,77.44,4.085415589441613e+35,267532,133729,133803,4.416929563566228
M1,64,0.1,0.2,5,1.0,2.0,all,45149,34.64,1.06,70.12,49793439.98,221979,34.82,1.0687,74.88,2.4745296103156736e+35,267128,133513,133615,4.416901635171154
M1,64,0.1,0.3,5,1.0,2.0,all,51884,34.59,1.058,81.56,182923965.11,254908,34.82,1.0686,85.95,1.7527207953323605e+40,306792,153385,153407,4.416911783879632
M1,64,0.1,0.2,10,1.0,2.0,london,4879,34.6,1.058,45.45,288.15,24078,34.82,1.0685,57.71,404428.26,28957,14481,14476,4.6
M1,64,0.05,0.3,5,1.0,2.0,all,51578,34.6,1.0583,73.25,184872885.53,252645,34.82,1.0685,85.25,6.581818254802128e+39,304223,152107,152116,4.416954010709249
M1,64,0.1,0.2,5,1.0,3.0,london,17127,25.59,1.0331,91.02,413.23,84271,26.22,1.0682,86.45,614018500243026.5,101398,50714,50684,7.1
M15,256,0.05,0.2,5,1.0,2.0,london,910,32.64,0.969,45.1,-24.38,4565,34.81,1.0679,40.39,374.26,5475,2740,2735,11.16675799086758
M1,64,0.05,0.3,10,1.0,4.0,asian,5870,21.24,1.0811,69.69,1162.88,28554,21.06,1.0678,86.7,1271139.89,34424,17196,17228,8.03410411340925
M15,64,0.05,0.2,10,1.5,4.0,asian,252,18.65,0.9171,42.21,-19.5,1539,21.05,1.0675,50.59,65.93,1791,885,906,13.88291457286432
M15,256,0.05,0.2,5,1.0,3.0,london,910,23.63,0.9281,61.88,-46.73,4565,26.22,1.0672,51.48,377.08,5475,2740,2735,16.450410958904108
M1,64,0.1,0.3,10,1.0,2.0,london,5537,34.31,1.0451,51.61,195.05,27288,34.78,1.0665,54.67,861267.09,32825,16411,16414,4.5831317593297785
M1,64,0.05,0.3,5,1.0,3.0,london,19422,25.72,1.0398,90.77,1562.37,95110,26.19,1.0665,83.38,8824207214262234.0,114532,57299,57233,7.1
M1,64,0.05,0.2,10,1.0,4.0,london,5693,20.69,1.0504,67.12,205.32,28348,20.95,1.0663,81.61,826894.33,34041,17015,17026,9.6
M1,64,0.05,0.2,10,1.0,3.0,london,5693,25.8,1.0436,53.28,166.26,28348,26.19,1.0662,73.77,1326595.8,34041,17015,17026,7.083276049469757
M1,64,0.1,0.3,10,1.0,4.0,asian,5200,21.54,1.1002,64.21,1913.04,24509,21.03,1.0658,73.11,227428.1,29709,14860,14849,7.970012454138477
