tf,fast_ema,mid_ema,slow_ema,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M1,13,34,55,1.5,3.0,asian,2912,25.65,1.038,74.59,46.48,14437,25.41,1.027,84.49,107.87,17349,8656,8693,12.23286068361289
M1,13,34,89,1.0,3.0,all,8055,24.99,1.0008,89.63,-68.08,38937,25.48,1.0269,96.9,605.23,46992,23747,23245,6.3
M1,8,34,55,1.0,2.0,london,3860,33.11,0.9899,82.77,-47.39,17560,33.92,1.0267,87.05,282.08,21420,10719,10701,4.381979458450047
M5,13,21,89,1.5,2.0,london,682,34.6,1.0583,25.73,21.04,3355,33.89,1.0262,42.99,27.64,4037,1992,2045,19.28174386920981
M1,8,21,55,1.0,4.0,london,4951,19.03,0.9453,98.6,-95.56,22551,20.33,1.0259,94.68,17.01,27502,13716,13786,8.8919860373791
M1,5,21,89,1.0,2.0,london,5518,32.67,0.9707,92.49,-80.46,25356,33.89,1.0257,78.31,481.39,30874,15417,15457,4.364254712703246
M15,13,21,55,1.5,3.0,asian,278,26.26,1.0683,31.5,10.24,1433,25.47,1.0253,49.51,5.68,1711,842,869,9.064991233196961
M1,8,34,55,1.0,4.0,london,3860,19.27,0.9594,96.45,-86.41,17560,20.34,1.0252,93.46,2.62,21420,10719,10701,8.963958916900093
M15,8,21,55,1.0,4.0,london,280,16.43,0.7863,53.93,-42.17,1405,20.36,1.0251,54.98,0.09,1685,839,846,18.01691394658754
M1,8,34,89,1.0,2.0,london,3629,32.65,0.9697,85.84,-66.61,16441,33.87,1.0244,89.58,172.87,20070,10037,10033,4.381918285999004
