tf,fast_ema,mid_ema,slow_ema,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M5,13,21,55,1.5,2.0,all,2156,33.4,1.0035,64.34,-15.15,10448,32.55,0.9655,97.69,-96.84,12604,6338,6266,13.171056807362742
M5,5,21,55,1.0,3.0,london,1082,22.64,0.8781,82.31,-68.97,5161,24.34,0.9654,90.74,-87.76,6243,3108,3135,12.113342944097388
M5,8,34,89,1.0,2.0,all,1859,32.22,0.9515,65.32,-54.69,9116,32.55,0.9652,97.23,-95.19,10975,5515,5460,5.333876993166287
M5,5,21,89,1.5,2.0,london,1036,32.14,0.9474,50.41,-37.57,4860,32.53,0.9649,81.66,-80.35,5896,2924,2972,19.336431478968795
M5,8,34,89,1.5,2.0,london,623,32.1,0.9456,44.16,-25.23,3144,32.51,0.9642,66.97,-65.65,3767,1860,1907,19.91961773294399
M5,5,34,89,1.0,2.0,all,2229,33.47,1.0067,47.1,-11.47,10961,32.52,0.9642,98.09,-97.59,13190,6642,6548,5.333798332069749
M5,8,34,55,1.5,2.0,all,1975,33.11,0.9909,55.82,-27.06,9666,32.51,0.9635,97.47,-96.42,11641,5825,5816,12.849102310798044
M5,5,34,55,1.0,3.0,all,2345,25.33,1.0183,64.56,-2.97,11511,24.3,0.9632,99.36,-99.24,13856,6937,6919,8.3
M5,5,34,89,1.0,4.0,london,748,18.45,0.9049,72.14,-51.24,3756,19.38,0.963,86.45,-84.11,4504,2243,2261,17.833570159857903
M5,5,34,55,1.5,2.0,london,784,35.33,1.0927,21.0,47.67,3944,32.48,0.9628,78.94,-74.76,4728,2345,2383,18.983925549915398
M5,13,34,89,1.5,3.0,all,1557,23.83,0.9392,71.54,-61.07,7631,24.23,0.9607,97.17,-96.58,9188,4612,4576,20.064431867653457
M5,8,21,55,1.5,2.0,london,893,33.48,1.0067,35.27,-4.77,4340,32.42,0.9601,83.74,-79.71,5233,2619,2614,20.03412956239251
M5,5,34,55,1.5,4.0,all,2345,20.9,1.0583,44.94,83.11,11511,19.3,0.9597,99.89,-99.73,13856,6937,6919,24.75231668591224
M5,8,21,55,1.0,3.0,london,893,23.52,0.9224,70.63,-48.16,4340,24.22,0.9592,90.47,-86.04,5233,2619,2614,11.917064781196254
M5,5,34,55,1.5,2.0,all,2345,33.86,1.0245,46.23,15.63,11511,32.4,0.959,99.19,-98.67,13856,6937,6919,12.816924076212473
M5,8,34,89,1.0,4.0,london,623,17.82,0.8672,72.92,-54.72,3144,19.31,0.9585,83.21,-80.81,3767,1860,1907,17.60076984337669
M5,8,34,55,1.5,4.0,all,1975,20.51,1.0338,54.84,14.51,9666,19.27,0.9581,99.64,-99.39,11641,5825,5816,24.55089768920196
M5,5,34,89,1.5,3.0,all,2229,25.26,1.0144,59.66,-8.81,10961,24.18,0.9579,99.46,-99.38,13190,6642,6548,19.635193328279
M5,13,21,89,1.5,4.0,london,682,21.55,1.1073,34.72,53.53,3355,19.14,0.9568,84.9,-83.39,4037,1992,2045,40.77765667574932
M5,8,21,89,1.0,4.0,all,2440,19.34,0.9598,81.36,-71.54,11705,19.28,0.9557,99.89,-99.84,14145,7132,7013,11.013750441852245
M5,5,21,55,1.0,2.0,all,3085,32.87,0.9797,78.72,-51.54,14887,32.33,0.9556,99.79,-99.73,17972,9074,8898,5.417165590919208
M5,5,21,55,1.5,2.0,london,1082,32.81,0.9766,44.15,-24.17,5161,32.28,0.9539,90.21,-87.93,6243,3108,3135,19.934662822361044
M5,5,21,89,1.0,4.0,all,2947,19.07,0.943,89.83,-85.31,14113,19.22,0.9522,99.98,-99.97,17060,8622,8438,11.196354044548652
M5,13,21,55,1.5,3.0,all,2156,25.42,1.0237,59.51,5.91,10448,24.05,0.9515,99.6,-99.52,12604,6338,6266,19.651317042208824
M5,13,21,89,1.5,4.0,all,2018,19.62,0.9796,72.31,-51.32,9674,19.14,0.9507,99.8,-99.66,11692,5856,5836,24.865480670543956
M5,5,21,55,1.0,4.0,london,1082,17.47,0.8466,87.66,-79.03,5161,19.18,0.9503,95.94,-95.27,6243,3108,3135,17.05736024347269
M5,13,34,89,1.5,3.0,london,515,22.33,0.8647,55.7,-45.71,2628,23.97,0.9497,76.2,-74.79,3143,1557,1586,32.51180400890869
M5,5,21,89,1.0,2.0,all,2947,31.83,0.9343,84.5,-79.94,14113,32.18,0.9489,99.86,-99.81,17060,8622,8438,5.417274325908559
M5,5,34,89,1.5,4.0,all,2229,20.5,1.0339,57.18,16.75,10961,19.1,0.9477,99.92,-99.88,13190,6642,6548,25.085890826383622
M5,8,21,89,1.5,3.0,london,846,23.64,0.9288,54.02,-44.05,4035,23.92,0.9473,89.56,-88.8,4881,2413,2468,30.9760295021512
M5,8,21,89,1.0,3.0,all,2440,24.06,0.9509,84.44,-71.7,11705,23.99,0.947,99.87,-99.83,14145,7132,7013,8.182750088370447
M5,13,34,89,1.5,4.0,all,1557,19.46,0.9681,58.88,-50.3,7631,19.08,0.9468,99.48,-99.1,9188,4612,4576,25.445809751850238
